# x_m,y_m,w_tr_right_m,w_tr_left_m
-628.523489,-1068.479161,4.075,4.075
-633.429572,-1066.742266,4.061,4.061
-638.333162,-1064.998516,4.053,4.053
-643.242428,-1063.252774,4.046,4.046
-648.149596,-1061.501354,4.041,4.041
-653.049864,-1059.749289,4.035,4.035
-657.994377,-1057.956279,4.023,4.023
-662.883951,-1056.157202,3.998,3.998
-667.780828,-1054.342487,3.968,3.968
-672.652899,-1052.533017,3.937,3.937
-677.521812,-1050.735090,3.910,3.910
-682.378674,-1048.958211,3.907,3.907
-687.264516,-1047.193681,3.915,3.915
-692.145528,-1045.433554,3.933,3.933
-697.022376,-1043.702068,3.960,3.960
-701.925353,-1041.970908,3.992,3.992
-706.810621,-1040.264087,4.029,4.029
-711.728730,-1038.557381,4.071,4.071
-716.628713,-1036.853409,4.114,4.114
-721.548548,-1035.167158,4.154,4.154
-726.410363,-1033.453868,4.264,4.264
-731.317444,-1031.734212,4.393,4.393
-736.283576,-1030.011684,4.475,4.475
-741.093916,-1028.404927,4.551,4.551
-746.033724,-1026.845337,4.620,4.620
-751.075700,-1025.308000,4.625,4.625
-755.940574,-1023.898724,4.632,4.632
-760.847932,-1022.625676,4.577,4.577
-766.640799,-1021.499625,4.548,4.548
-772.600737,-1020.768257,4.523,4.523
-778.167187,-1020.679838,4.471,4.471
-784.110782,-1021.340129,4.382,4.382
-789.963318,-1022.481391,4.289,4.289
-794.950470,-1023.600310,4.260,4.260
-799.949766,-1024.790375,4.291,4.291
-804.878042,-1026.109546,4.301,4.301
-809.758057,-1027.615513,4.330,4.330
-815.428116,-1029.609733,4.414,4.414
-820.995004,-1031.910572,4.453,4.453
-825.601070,-1034.022727,4.463,4.463
-830.165212,-1036.243313,4.463,4.463
-834.812145,-1038.620060,4.481,4.481
-839.352675,-1041.001680,4.497,4.497
-843.930283,-1043.454592,4.528,4.528
-848.472174,-1045.951746,4.519,4.519
-853.631638,-1048.943048,4.566,4.566
-858.400356,-1052.170288,4.670,4.670
-862.262142,-1055.740646,4.849,4.849
-865.561857,-1060.239491,4.941,4.941
-867.956504,-1065.092023,4.918,4.918
-869.358344,-1070.184577,4.826,4.826
-869.759696,-1075.562072,4.731,4.731
-869.411490,-1081.303428,4.556,4.556
-868.360688,-1086.605025,4.473,4.473
-866.420576,-1091.840911,4.538,4.538
-863.644407,-1096.824546,4.394,4.394
-860.171094,-1101.126808,4.210,4.210
-856.183930,-1105.030160,4.200,4.200
-852.266139,-1108.389323,4.251,4.251
-848.294082,-1111.685013,4.408,4.408
-844.193096,-1115.189520,4.513,4.513
-840.394067,-1118.516726,4.574,4.574
-836.313604,-1122.024090,4.611,4.611
-832.368056,-1125.440561,4.623,4.623
-828.423652,-1128.908949,4.625,4.625
-824.527415,-1132.378532,4.611,4.611
-820.624773,-1135.857049,4.572,4.572
-816.748065,-1139.298176,4.540,4.540
-812.865742,-1142.739833,4.546,4.546
-808.948537,-1146.263973,4.572,4.572
-804.931419,-1149.911667,4.510,4.510
-801.078141,-1153.551537,4.362,4.362
-797.325833,-1157.397261,4.292,4.292
-793.799939,-1161.466726,4.272,4.272
-790.493465,-1165.696308,4.243,4.243
-787.375915,-1170.174804,4.224,4.224
-784.536956,-1174.860304,4.199,4.199
-782.030614,-1179.700824,4.176,4.176
-779.844054,-1184.641662,4.152,4.152
-777.930871,-1189.674605,4.157,4.157
-776.365253,-1194.785450,4.228,4.228
-775.069139,-1200.087381,4.303,4.303
-774.084247,-1205.419841,4.402,4.402
-773.310628,-1210.561634,4.474,4.474
-772.673655,-1216.072097,4.501,4.501
-772.274737,-1221.420934,4.472,4.472
-772.023876,-1226.620675,4.444,4.444
-771.885054,-1232.005352,4.424,4.424
-771.810334,-1237.311045,4.434,4.434
-771.783083,-1242.483642,4.419,4.419
-771.787055,-1247.734094,4.391,4.391
-771.798530,-1253.020948,4.327,4.327
-771.808298,-1258.189736,4.258,4.258
-771.827247,-1263.266613,4.213,4.213
-771.856041,-1268.494656,4.196,4.196
-771.895433,-1273.730139,4.178,4.178
-771.958192,-1278.929811,4.163,4.163
-772.023553,-1284.165926,4.149,4.149
-772.127253,-1289.371840,4.139,4.139
-772.236522,-1294.588000,4.137,4.137
-772.414861,-1299.775703,4.144,4.144
-772.587860,-1305.004201,4.152,4.152
-772.806948,-1310.250577,4.156,4.156
-773.078663,-1315.481946,4.150,4.150
-773.432079,-1320.818504,4.094,4.094
-773.920995,-1326.132840,4.020,4.020
-774.698368,-1331.396757,3.953,3.953
-775.698756,-1336.618038,3.944,3.944
-776.942401,-1341.844065,3.975,3.975
-778.603258,-1347.155017,3.954,3.954
-780.655560,-1352.249451,3.883,3.883
-783.044474,-1357.034848,3.866,3.866
-785.698854,-1361.643114,3.935,3.935
-788.735614,-1366.208099,4.055,4.055
-792.206212,-1370.519102,4.110,4.110
-796.050526,-1374.468012,4.170,4.170
-800.237255,-1378.117500,4.170,4.170
-804.489874,-1381.343552,4.150,4.150
-808.782054,-1384.359093,4.151,4.151
-813.232168,-1387.330372,4.181,4.181
-817.631453,-1390.118740,4.245,4.245
-822.013596,-1392.898563,4.307,4.307
-826.388065,-1395.715868,4.350,4.350
-830.733850,-1398.523359,4.417,4.417
-835.032577,-1401.344127,4.517,4.517
-839.295416,-1404.246973,4.608,4.608
-843.479627,-1407.199171,4.724,4.724
-847.626251,-1410.247132,4.856,4.856
-851.614079,-1413.353793,4.947,4.947
-855.467801,-1416.630092,4.970,4.970
-859.173570,-1420.093815,4.930,4.930
-862.707063,-1423.742950,4.839,4.839
-866.048597,-1427.519853,4.723,4.723
-869.266266,-1431.428562,4.628,4.628
-872.372004,-1435.490315,4.490,4.490
-875.402489,-1439.557206,4.418,4.418
-878.550663,-1443.832749,4.420,4.420
-881.651595,-1448.007469,4.408,4.408
-884.695229,-1452.172168,4.348,4.348
-887.830918,-1456.496018,4.290,4.290
-890.856096,-1460.719554,4.236,4.236
-893.876573,-1464.989889,4.189,4.189
-896.870557,-1469.261890,4.142,4.142
-899.854586,-1473.572734,4.094,4.094
-902.888848,-1477.960402,4.043,4.043
-905.769817,-1482.192200,4.003,4.003
-908.757310,-1486.577933,3.980,3.980
-911.618191,-1490.819381,3.979,3.979
-914.537775,-1495.174903,3.989,3.989
-917.439634,-1499.507021,4.004,4.004
-920.447025,-1504.049287,4.024,4.024
-923.397093,-1508.460108,4.045,4.045
-926.220591,-1512.753111,4.076,4.076
-929.153395,-1517.256496,4.106,4.106
-932.317630,-1522.387337,4.128,4.128
-935.308374,-1527.704460,4.111,4.111
-938.020270,-1533.007639,4.092,4.092
-940.142734,-1537.644758,4.039,4.039
-942.048970,-1542.384611,3.952,3.952
-943.757777,-1547.252654,3.905,3.905
-945.276848,-1552.165663,3.895,3.895
-946.615625,-1557.156241,3.892,3.892
-947.732047,-1562.052718,3.841,3.841
-948.735600,-1566.958232,3.734,3.734
-949.705477,-1572.172483,3.628,3.628
-950.662766,-1577.421677,3.541,3.541
-951.543690,-1582.429473,3.513,3.513
-952.418052,-1587.576494,3.514,3.514
-953.275380,-1592.632276,3.532,3.532
-954.129850,-1597.870729,3.566,3.566
-954.955788,-1603.031127,3.610,3.610
-955.772255,-1608.205219,3.663,3.663
-956.592684,-1613.374167,3.725,3.725
-957.408103,-1618.554355,3.794,3.794
-958.192508,-1623.547419,3.877,3.877
-958.995365,-1628.672700,3.959,3.959
-959.720234,-1633.883619,4.036,4.036
-960.420340,-1639.851981,4.017,4.017
-960.751628,-1644.901198,4.002,4.002
-960.864023,-1650.001920,3.966,3.966
-960.703735,-1655.072035,3.942,3.942
-960.266092,-1660.161206,3.924,3.924
-959.635208,-1665.277863,3.953,3.953
-958.824030,-1670.216085,3.918,3.918
-957.812561,-1675.129543,3.799,3.799
-956.609022,-1680.070341,3.698,3.698
-955.119356,-1685.033823,3.598,3.598
-953.485435,-1689.786180,3.433,3.433
-951.623094,-1694.438395,3.369,3.369
-949.497503,-1699.024744,3.360,3.360
-947.135080,-1703.521971,3.414,3.414
-944.026791,-1708.707343,3.557,3.557
-941.200814,-1713.027210,3.633,3.633
-938.237128,-1717.181926,3.706,3.706
-935.147551,-1721.240120,3.759,3.759
-931.942856,-1725.207129,3.733,3.733
-928.578235,-1729.163472,3.738,3.738
-925.169876,-1733.135689,3.715,3.715
-921.740230,-1737.117777,3.687,3.687
-918.334550,-1741.098971,3.663,3.663
-914.932525,-1745.050128,3.663,3.663
-911.514086,-1749.011671,3.693,3.693
-908.096888,-1752.957277,3.744,3.744
-904.661118,-1756.919388,3.811,3.811
-901.228548,-1760.867322,3.884,3.884
-897.780538,-1764.826054,3.956,3.956
-894.332229,-1768.792882,4.024,4.024
-890.871316,-1772.780804,4.071,4.071
-887.426574,-1776.783073,4.090,4.090
-883.991503,-1780.784214,4.085,4.085
-880.574326,-1784.767329,4.068,4.068
-877.169184,-1788.727283,4.050,4.050
-873.745893,-1792.686820,4.035,4.035
-870.318593,-1796.634838,4.023,4.023
-866.858502,-1800.629075,4.003,4.003
-863.431557,-1804.619406,3.972,3.972
-860.016812,-1808.621422,3.935,3.935
-856.617293,-1812.612830,3.900,3.900
-853.221276,-1816.599780,3.867,3.867
-849.825826,-1820.620600,3.854,3.854
-846.470216,-1824.610700,3.852,3.852
-843.060146,-1828.604137,3.831,3.831
-839.632667,-1832.558206,3.792,3.792
-836.210695,-1836.504753,3.773,3.773
-832.787433,-1840.446316,3.779,3.779
-829.341971,-1844.367790,3.796,3.796
-825.874804,-1848.260667,3.822,3.822
-822.401190,-1852.104793,3.862,3.862
-818.899388,-1855.853318,3.935,3.935
-815.327032,-1859.487990,4.049,4.049
-811.636633,-1863.026486,4.185,4.185
-807.828483,-1866.446876,4.304,4.304
-803.746182,-1869.906671,4.379,4.379
-799.047180,-1873.573212,4.414,4.414
-794.170251,-1877.016989,4.333,4.333
-789.757893,-1879.817415,4.244,4.244
-784.709767,-1882.627889,4.184,4.184
-780.022675,-1884.899460,4.201,4.201
-775.167482,-1887.111486,4.157,4.157
-770.525035,-1889.074620,4.170,4.170
-765.794918,-1891.057479,4.123,4.123
-760.856693,-1893.016394,4.106,4.106
-755.361044,-1895.160928,4.099,4.099
-750.296566,-1896.942358,4.163,4.163
-744.684683,-1898.632867,4.323,4.323
-738.996693,-1899.972096,4.456,4.456
-733.735506,-1900.777836,4.539,4.539
-727.905850,-1901.228177,4.500,4.500
-722.692553,-1901.306268,4.329,4.329
-717.533594,-1901.105507,4.119,4.119
-711.810344,-1900.666009,3.913,3.913
-706.608545,-1900.104980,3.852,3.852
-701.434760,-1899.411315,3.830,3.830
-696.268694,-1898.662973,3.819,3.819
-691.182029,-1897.851103,3.796,3.796
-685.962193,-1897.005181,3.774,3.774
-680.774112,-1896.197894,3.766,3.766
-675.656768,-1895.423510,3.769,3.769
-670.476016,-1894.653110,3.784,3.784
-665.289524,-1893.874846,3.808,3.808
-660.089503,-1893.102317,3.830,3.830
-654.921216,-1892.327777,3.854,3.854
-649.704271,-1891.541944,3.875,3.875
-644.508838,-1890.780048,3.888,3.888
-639.307509,-1890.015353,3.896,3.896
-634.104431,-1889.262496,3.903,3.903
-628.900971,-1888.511600,3.906,3.906
-623.695089,-1887.777764,3.907,3.907
-618.487933,-1887.052545,3.907,3.907
-613.285492,-1886.338743,3.907,3.907
-608.088682,-1885.629175,3.908,3.908
-602.892284,-1884.916959,3.909,3.909
-597.712440,-1884.205940,3.916,3.916
-592.578041,-1883.494818,3.932,3.932
-587.402463,-1882.769372,3.956,3.956
-582.229222,-1882.028114,3.992,3.992
-577.045304,-1881.274510,4.044,4.044
-571.868700,-1880.515255,4.102,4.102
-566.680597,-1879.749220,4.163,4.163
-561.498777,-1878.983546,4.225,4.225
-556.318920,-1878.204102,4.285,4.285
-551.129198,-1877.405614,4.335,4.335
-546.056446,-1876.608577,4.365,4.365
-540.945056,-1875.802653,4.383,4.383
-535.750931,-1874.991567,4.397,4.397
-530.548938,-1874.190962,4.405,4.405
-525.345713,-1873.399268,4.411,4.411
-520.147132,-1872.619175,4.417,4.417
-514.953279,-1871.850964,4.424,4.424
-509.751650,-1871.094965,4.430,4.430
-504.529078,-1870.351088,4.433,4.433
-499.303715,-1869.628683,4.421,4.421
-494.036203,-1868.942881,4.395,4.395
-488.742436,-1868.323748,4.353,4.353
-483.401511,-1867.806796,4.295,4.295
-478.043903,-1867.441092,4.223,4.223
-472.604709,-1867.279566,4.139,4.139
-467.155934,-1867.380880,4.047,4.047
-461.726693,-1867.786801,3.960,3.960
-456.377477,-1868.506830,3.898,3.898
-451.006177,-1869.551539,3.864,3.864
-445.787317,-1870.884544,3.849,3.849
-440.610782,-1872.534367,3.844,3.844
-435.579927,-1874.467145,3.852,3.852
-430.726764,-1876.612990,3.880,3.880
-425.996989,-1878.861732,3.924,3.924
-421.352808,-1881.099008,3.978,3.978
-416.740377,-1883.229112,4.037,4.037
-412.114009,-1885.157625,4.108,4.108
-406.621688,-1887.057857,4.201,4.201
-400.977305,-1888.420558,4.307,4.307
-395.269442,-1889.141233,4.403,4.403
-389.456170,-1889.244295,4.461,4.461
-383.673121,-1888.758398,4.460,4.460
-377.808822,-1887.739779,4.404,4.404
-372.030870,-1886.296490,4.291,4.291
-367.212621,-1884.817098,4.160,4.160
-362.384857,-1883.138308,3.987,3.987
-357.575234,-1881.328463,3.774,3.774
-352.691139,-1879.494595,3.586,3.586
-347.684984,-1877.812698,3.513,3.513
-342.526335,-1876.468176,3.650,3.650
-336.957603,-1875.643433,3.993,3.993
-331.891348,-1875.686974,4.203,4.203
-325.864412,-1877.025058,4.114,4.114
-320.604802,-1879.030043,3.930,3.930
-315.743797,-1881.498152,3.882,3.882
-311.097484,-1884.168937,3.793,3.793
-306.662904,-1887.064364,3.801,3.801
-302.222101,-1890.322975,3.875,3.875
-297.851023,-1894.163164,3.803,3.803
-294.142429,-1898.178509,3.598,3.598
-290.987777,-1902.600648,3.564,3.564
-288.346909,-1907.298855,3.766,3.766
-285.985170,-1911.945283,3.972,3.972
-283.018932,-1916.765874,4.008,4.008
-279.472281,-1920.703310,4.142,4.142
-275.225428,-1923.723190,4.308,4.308
-270.309282,-1925.473956,4.304,4.304
-265.077369,-1926.075417,4.325,4.325
-259.377879,-1925.786711,4.401,4.401
-254.398515,-1925.114012,4.433,4.433
-249.290736,-1924.223443,4.422,4.422
-244.110727,-1923.327400,4.337,4.337
-238.738110,-1922.492482,4.192,4.192
-233.521454,-1921.916504,3.980,3.980
-228.459098,-1921.724150,3.821,3.821
-223.341454,-1922.043950,3.685,3.685
-218.088524,-1923.219613,3.603,3.603
-213.003974,-1925.212272,3.667,3.667
-208.110196,-1927.733668,3.736,3.736
-203.606230,-1930.452135,3.817,3.817
-199.186780,-1933.261585,3.897,3.897
-194.803496,-1936.132157,3.949,3.949
-190.501254,-1938.987427,4.007,4.007
-186.104196,-1941.891992,4.045,4.045
-181.741258,-1944.797229,4.050,4.050
-177.393692,-1947.698479,4.031,4.031
-173.031542,-1950.602917,4.009,4.009
-168.788911,-1953.417533,3.992,3.992
-164.570506,-1956.173515,4.002,4.002
-160.032605,-1959.095464,4.033,4.033
-155.725009,-1961.881135,4.068,4.068
-151.264968,-1964.797786,4.082,4.082
-146.905962,-1967.656141,4.090,4.090
